	smiles	name	stand_name
245	O=C(O)C1=C(CO)C=CC(OC)=N1		B245
246	O=C(O)C1=C(OC)C(CO)=CC=N1		B246
247	O=C(O)C1=CC(CO)=C(OC)C=N1		B247
248	O=C(O)C1=CC(CO)=CC(OC)=N1		B248
249	O=C(O)C1=C(OC)C=C(CO)C=N1		B249
250	O=C(O)C1=CC(OC)=C(CO)C=N1		B250
251	O=C(O)C1=CC=C(CO)C(OC)=N1		B251
252	O=C(O)C1=C(OC)C=CC(CO)=N1		B252
253	O=C(O)C1=CC(OC)=CC(CO)=N1		B253
254	O=C(O)C1=CC=C(OC)C(CO)=N1		B254
255	O=C(O)C1=C(CO)C(F)=CC=N1		B255
256	O=C(O)C1=C(CO)C=C(F)C=N1		B256
257	O=C(O)C1=C(CO)C=CC(F)=N1		B257
258	O=C(O)C1=C(F)C(CO)=CC=N1		B258
259	O=C(O)C1=CC(CO)=C(F)C=N1		B259
260	O=C(O)C1=CC(CO)=CC(F)=N1		B260
261	O=C(O)C1=C(F)C=C(CO)C=N1		B261
262	O=C(O)C1=CC(F)=C(CO)C=N1		B262
263	O=C(O)C1=CC=C(CO)C(F)=N1		B263
264	O=C(O)C1=C(F)C=CC(CO)=N1		B264
265	O=C(O)C1=CC(F)=CC(CO)=N1		B265
266	O=C(O)C1=CC=C(F)C(CO)=N1		B266
267	O=C(O)C1=C(CO)C(O)=CC=N1		B267
268	O=C(O)C1=C(CO)C=C(O)C=N1		B268
269	O=C(O)C1=C(CO)C=CC(O)=N1		B269
270	O=C(O)C1=C(O)C(CO)=CC=N1		B270
271	O=C(O)C1=CC(CO)=C(O)C=N1		B271
272	O=C(O)C1=CC(CO)=CC(O)=N1		B272
273	O=C(O)C1=C(O)C=C(CO)C=N1		B273
274	O=C(O)C1=CC(O)=C(CO)C=N1		B274
275	O=C(O)C1=CC=C(CO)C(O)=N1		B275
276	O=C(O)C1=C(O)C=CC(CO)=N1		B276
277	O=C(O)C1=CC(O)=CC(CO)=N1		B277
278	O=C(O)C1=CC=C(O)C(CO)=N1		B278
279	O=C(O)CC1=C(CO)C(CO)=CC=N1		B279
280	O=C(O)CC1=C(CO)C=C(CO)C=N1		B280
281	O=C(O)CC1=C(CO)C=CC(CO)=N1		B281
282	O=C(O)CC1=CC(CO)=C(CO)C=N1		B282
283	O=C(O)CC1=CC(CO)=CC(CO)=N1		B283
284	O=C(O)CC1=CC=C(CO)C(CO)=N1		B284
285	O=C(O)CC1=C(CO)C(C)=CC=N1		B285
286	O=C(O)CC1=C(CO)C=C(C)C=N1		B286
287	O=C(O)CC1=C(CO)C=CC(C)=N1		B287
288	O=C(O)CC1=C(C)C(CO)=CC=N1		B288
289	O=C(O)CC1=CC(CO)=C(C)C=N1		B289
290	O=C(O)CC1=CC(CO)=CC(C)=N1		B290
291	O=C(O)CC1=C(C)C=C(CO)C=N1		B291
292	O=C(O)CC1=CC(C)=C(CO)C=N1		B292
293	O=C(O)CC1=CC=C(CO)C(C)=N1		B293
294	O=C(O)CC1=C(C)C=CC(CO)=N1		B294
295	O=C(O)CC1=CC(C)=CC(CO)=N1		B295
296	O=C(O)CC1=CC=C(C)C(CO)=N1		B296
297	O=C(O)CC1=C(CO)C(OC)=CC=N1		B297
298	O=C(O)CC1=C(CO)C=C(OC)C=N1		B298
299	O=C(O)CC1=C(CO)C=CC(OC)=N1		B299
300	O=C(O)CC1=C(OC)C(CO)=CC=N1		B300
301	O=C(O)CC1=CC(CO)=C(OC)C=N1		B301
302	O=C(O)CC1=CC(CO)=CC(OC)=N1		B302
303	O=C(O)CC1=C(OC)C=C(CO)C=N1		B303
304	O=C(O)CC1=CC(OC)=C(CO)C=N1		B304
305	O=C(O)CC1=CC=C(CO)C(OC)=N1		B305
306	O=C(O)CC1=C(OC)C=CC(CO)=N1		B306
307	O=C(O)CC1=CC(OC)=CC(CO)=N1		B307
308	O=C(O)CC1=CC=C(OC)C(CO)=N1		B308
309	O=C(O)CC1=C(CO)C(F)=CC=N1		B309
310	O=C(O)CC1=C(CO)C=C(F)C=N1		B310
311	O=C(O)CC1=C(CO)C=CC(F)=N1		B311
312	O=C(O)CC1=C(F)C(CO)=CC=N1		B312
313	O=C(O)CC1=CC(CO)=C(F)C=N1		B313
314	O=C(O)CC1=CC(CO)=CC(F)=N1		B314
315	O=C(O)CC1=C(F)C=C(CO)C=N1		B315
316	O=C(O)CC1=CC(F)=C(CO)C=N1		B316
317	O=C(O)CC1=CC=C(CO)C(F)=N1		B317
318	O=C(O)CC1=C(F)C=CC(CO)=N1		B318
319	O=C(O)CC1=CC(F)=CC(CO)=N1		B319
320	O=C(O)CC1=CC=C(F)C(CO)=N1		B320
321	O=C(O)CC1=C(CO)C(O)=CC=N1		B321
322	O=C(O)CC1=C(CO)C=C(O)C=N1		B322
323	O=C(O)CC1=C(CO)C=CC(O)=N1		B323
324	O=C(O)CC1=C(O)C(CO)=CC=N1		B324
325	O=C(O)CC1=CC(CO)=C(O)C=N1		B325
326	O=C(O)CC1=CC(CO)=CC(O)=N1		B326
327	O=C(O)CC1=C(O)C=C(CO)C=N1		B327
328	O=C(O)CC1=CC(O)=C(CO)C=N1		B328
329	O=C(O)CC1=CC=C(CO)C(O)=N1		B329
330	O=C(O)CC1=C(O)C=CC(CO)=N1		B330
331	O=C(O)CC1=CC(O)=CC(CO)=N1		B331
332	O=C(O)CC1=CC=C(O)C(CO)=N1		B332
333	O=C(O)COC1=C(CO)C(CO)=CC=N1		B333
334	O=C(O)COC1=C(CO)C=C(CO)C=N1		B334
335	O=C(O)COC1=C(CO)C=CC(CO)=N1		B335
336	O=C(O)COC1=CC(CO)=C(CO)C=N1		B336
337	O=C(O)COC1=CC(CO)=CC(CO)=N1		B337
338	O=C(O)COC1=CC=C(CO)C(CO)=N1		B338
339	O=C(O)COC1=C(CO)C(C)=CC=N1		B339
340	O=C(O)COC1=C(CO)C=C(C)C=N1		B340
341	O=C(O)COC1=C(CO)C=CC(C)=N1		B341
342	O=C(O)COC1=C(C)C(CO)=CC=N1		B342
343	O=C(O)COC1=CC(CO)=C(C)C=N1		B343
344	O=C(O)COC1=CC(CO)=CC(C)=N1		B344
345	O=C(O)COC1=C(C)C=C(CO)C=N1		B345
346	O=C(O)COC1=CC(C)=C(CO)C=N1		B346
347	O=C(O)COC1=CC=C(CO)C(C)=N1		B347
348	O=C(O)COC1=C(C)C=CC(CO)=N1		B348
349	O=C(O)COC1=CC(C)=CC(CO)=N1		B349
